super_book_title,super_book_code,high_level_keyword,parisian_keyword
Magasin des jeunes dames,spbk0002666,pk015,Belles-Lettres
[Livre de cuisine],spbk0002668,pk105,Science et Arts
Conservation (de la) des enfans,spbk0002671,pk105,Science et Arts
Philosophe (le) sans le savoir,spbk0002672,pk015,Belles-Lettres
Mélanges intéressans et curieux,spbk0002673,pk036,Histoire
Protégés (les),spbk0002674,pk015,Belles-Lettres
Essai sur les erreurs et les superstitions,spbk0002675,pk036,Histoire
Guston & Bayard,spbk0002678,NA,NA
Recueil de lettres du Roi de Prusse sur la guerre dernière,spbk0002682,pk105,Science et Arts
Provinciali (le),spbk0002685,pk106,Théologie
[Lettri di Pesseri],spbk0002686,pk114,Undetermined
Géométrie (la) des lignes et des surfaces,spbk0002687,pk105,Science et Arts
Mémoires sur les manufactures de draps et autres étoffes de laine,spbk0002689,pk105,Science et Arts
"Traité complet sur la manière de planter, d'élever et de cultiver la vigne",spbk0002690,pk105,Science et Arts
Socrate en délire,spbk0002692,pk015,Belles-Lettres
Ventriloque (le),spbk0002694,pk105,Science et Arts
Dictionnaire portatif de santé,spbk0002695,pk105,Science et Arts
Médecine vétérinaire,spbk0002696,pk105,Science et Arts
Dîner (le) du comte de Boulainvilliers,spbk0002697,pk105,Science et Arts
Sermons de Bertrand,spbk0002698,pk106,Théologie
"Essai sur le caractère, les moeurs et l'esprit des femmes",spbk0002699,pk105,Science et Arts
Malheurs (les) de l'inconstance,spbk0002700,pk015,Belles-Lettres
Mémoires et observations recueillies par la Société oeconomique de Berne,spbk0002703,pk105,Science et Arts
Recueil d'antiquités trouvées à Avenches,spbk0002704,pk036,Histoire
Essai d'éducation nationale,spbk0002705,pk105,Science et Arts
Magasin des adollesçantes,spbk0002706,pk015,Belles-Lettres
Réflexions d'un homme de bon sens sur les comètes,spbk0002709,pk105,Science et Arts
Lettre d'un patriote sur la tolérance civile des protestans de France,spbk0002711,pk036,Histoire
Memorie anedote spettanti alla vita ed agli studj del sommo filosofo,spbk0002712,pk036,Histoire
[Discours sur le commerce],spbk0002714,pk105,Science et Arts
"Laurette, ou Le vrai philosophe",spbk0002716,pk015,Belles-Lettres
Lettres du baron d'Olban,spbk0002717,pk015,Belles-Lettres
Dissertation sur les vins,spbk0002718,pk105,Science et Arts
Examen chimique des pommes de terre,spbk0002719,pk105,Science et Arts
Indigent (l'),spbk0002720,pk015,Belles-Lettres
Intérêts (des) et des devoirs d'un républicain,spbk0002722,pk105,Science et Arts
Réflexions philosophiques sur le Système de la nature,spbk0002723,pk106,Théologie
Ami (l') des jeunes gens,spbk0002724,pk105,Science et Arts
[Histoire naturelle des voyages],spbk0002725,pk105,Science et Arts
Art (l') de connoître les hommes,spbk0002728,pk105,Science et Arts
Art (l') de plaire dans la conversation,spbk0002729,pk015,Belles-Lettres
Réflexions sur le ridicule et sur les moyens de l'éviter,spbk0002730,pk105,Science et Arts
"Discours de la nature, et des effets du luxe",spbk0002731,pk105,Science et Arts
Histoire d'Angleterre,spbk0002733,pk036,Histoire
Consolations raisonnables et religieuses,spbk0002735,pk106,Théologie
Almanach de Lausanne,spbk0002737,pk036,Histoire
Loix et Constitutions de S. M. le roi de Sardaigne,spbk0002738,pk082,Jurisprudence
République (la) romaine,spbk0002742,pk036,Histoire
Histoire de la conversion du comte Struensée,spbk0002746,pk106,Théologie
"Emile, ou de l'éducation",spbk0002747,pk015,Belles-Lettres
Voyage aux Indes orientales,spbk0002748,pk036,Histoire
Caractères (les),spbk0002749,pk105,Science et Arts
Leçons de droit de la nature et des gens,spbk0002750,pk082,Jurisprudence
Chaîne (la) d'or pour enlever les âmes de la terre au ciel,spbk0002751,pk106,Théologie
Abrégé de l'histoire de Geneve,spbk0002752,pk036,Histoire
Traité de l'épilepsie,spbk0002755,pk105,Science et Arts
[Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes],spbk0002756,pk036,Histoire
Nouvelle (la) Clémentine,spbk0002757,pk015,Belles-Lettres
Droit (le) de la nature et des gens,spbk0002759,pk082,Jurisprudence
Dialogue de Pégase et du vieillard,spbk0002760,pk015,Belles-Lettres
Mémoire sur une découverte dans l'art de bâtir,spbk0002761,pk105,Science et Arts
Journal du voyage de Michel de Montaigne en Italie,spbk0002762,pk036,Histoire
Leçons de clavecin,spbk0002764,pk105,Science et Arts
Dictionnaire portatif de la langue françoise,spbk0002766,pk015,Belles-Lettres
Alexandri Tralliani De Arte medica libri xii,spbk0002770,pk105,Science et Arts
Caelii Aureliani ... Acutorum morborum libri tres,spbk0002771,pk105,Science et Arts
[Parlemang],spbk0002775,pk015,Belles-Lettres
Elémens d'histoire générale de Millot,spbk0002776,pk036,Histoire
[Palattes allemandes],spbk0002777,pk114,Undetermined
Théorie nouvelle sur les maladies cancéreuses,spbk0002778,pk105,Science et Arts
Dissertation sur la fièvre miliaire,spbk0002779,pk105,Science et Arts
Recueil d'observations de médecine des hôpitaux militaires,spbk0002781,pk105,Science et Arts
"Recherches sur le pouls, par rapport aux crises",spbk0002782,pk105,Science et Arts
Principes de médecine de M. Home,spbk0002783,pk105,Science et Arts
"Histoire moderne des Chinois, des Japonnois, des Indiens, des Persans, des Turcs, des Russiens, etc.",spbk0002784,pk036,Histoire
Traité de la culture des pêchers,spbk0002785,pk105,Science et Arts
Histoire de l'ordre du Saint-Esprit,spbk0002786,pk036,Histoire
Mémoires de la minorité de Louis XIV,spbk0002787,pk036,Histoire
"Mémoires de François de Paule, marquis de Monglat",spbk0002788,pk036,Histoire
[Collection d'anecdotes historiques],spbk0002790,pk036,Histoire
Réponses critiques à plusieurs difficultés proposées par les nouveaux incrédules,spbk0002791,pk106,Théologie
Recueil elémentaire d'architecture,spbk0002792,pk105,Science et Arts
[Histoire des philosophes anciens et modernes],spbk0002793,pk105,Science et Arts
Traité complet de la gonorrhée virulente des hommes et des femmes,spbk0002794,pk105,Science et Arts
Lettres de Madame du Montier,spbk0002795,pk015,Belles-Lettres
Cours d'histoire universelle,spbk0002797,pk036,Histoire
Tuba magna mirum clangens sonum,spbk0002798,pk106,Théologie
Mémoires de Madame Muller,spbk0002800,pk036,Histoire
[Anleitung zur franzosischen sprach],spbk0002802,pk015,Belles-Lettres
Recherches philosophiques sur les Américains,spbk0002803,pk036,Histoire
Essais historiques sur l'Inde,spbk0002804,pk036,Histoire
Contes traduits de l'anglois,spbk0002805,pk015,Belles-Lettres
Nouveaux contes moraux,spbk0002806,pk015,Belles-Lettres
Requête présentée au roi et à nosseigneurs de son conseil par Geneviève-Françoise Gaillard,spbk0002808,pk082,Jurisprudence
"Traité de l'expérience en général, et en particulier dans l'art de guérir",spbk0002809,pk105,Science et Arts
Requête au roi,spbk0002810,pk082,Jurisprudence
Maréchal (le) expert,spbk0002811,pk105,Science et Arts
Histoire générale de l'état présent de l'Europe,spbk0002812,pk036,Histoire
Gedanken über das Leben und die Meinungen des Herrn Magister Sebaldus Nothanker,spbk0002813,pk015,Belles-Lettres
[Fata der Seefahrer],spbk0002814,pk114,Undetermined
Oeuvres de Boissier de Sauvages,spbk0002816,pk105,Science et Arts
[Oeuvres de Diderot],spbk0002817,pk015,Belles-Lettres
Avantures (les) de Telemaque fils d'Ulysse,spbk0002818,pk015,Belles-Lettres
Voyage (le) du chrétien vers l'éternité,spbk0002821,pk015,Belles-Lettres
Art (l') de bien vivre et de bien mourir,spbk0002823,pk106,Théologie
Sonnets chrétiens sur divers sujets,spbk0002824,pk015,Belles-Lettres
Loix (les) civiles dans leur ordre naturel,spbk0002825,pk082,Jurisprudence
[Cartes - unidentified],spbk0002826,pk036,Histoire
Oraison funèbre de Louis XV,spbk0002828,pk106,Théologie
[Annales de Faute (?)],spbk0002829,pk114,Undetermined
[Histoire de mathématique],spbk0002830,pk105,Science et Arts
Oeuvres de M. de Fontenelle,spbk0002831,pk015,Belles-Lettres
Histoire de François Premier,spbk0002832,pk036,Histoire
[Basedow - unidentified title],spbk0002833,pk114,Undetermined
[Oraison funebre de Louis XV par Sabatier],spbk0002835,pk106,Théologie
Abrégé des controverses,spbk0002845,pk106,Théologie
[Edit (l') de Nantes],spbk0002846,pk114,Undetermined
Histoire des nouvelles découvertes faites dans la mer du Sud,spbk0002848,pk036,Histoire
Mémoires de Monsieur de Montresor,spbk0002849,pk036,Histoire
Vie de Marie de Médicis,spbk0002850,pk036,Histoire
"Variétés littéraires, galantes",spbk0002851,pk015,Belles-Lettres
Mémoires de M. le marquis de Chouppes,spbk0002852,pk105,Science et Arts
[Histoire moderne],spbk0002853,pk036,Histoire
Théatre de M. de Saint-Foix,spbk0002854,pk015,Belles-Lettres
[Guerre de Bourgogne],spbk0002855,pk114,Undetermined
Oeuvres de théâtre de De La Place,spbk0002857,pk015,Belles-Lettres
Mémoires du sieur de Pontis,spbk0002858,pk036,Histoire
Commentaires de messire Blaise de Montluc,spbk0002859,pk105,Science et Arts
Honneur (l') françois,spbk0002860,pk036,Histoire
Mémoire pour la demoiselle Alliot contre le nommé La Ralde,spbk0002861,pk082,Jurisprudence
Manière sûre et facile de traiter les maladies vénériennes,spbk0002862,pk105,Science et Arts
[Mémoires de La Favre],spbk0002864,pk114,Undetermined
Traité du pouls,spbk0002865,pk105,Science et Arts
Exposition de la foi chrétienne,spbk0002866,pk106,Théologie
Relation des voyages entrepris par ordre de Sa Majesté,spbk0002867,pk036,Histoire
Chirurgien (le) anglois,spbk0002868,pk015,Belles-Lettres
[Sermons sur la femme vaillante],spbk0002869,pk106,Théologie
[Discours sur l'Etude],spbk0002871,pk114,Undetermined
Libertés (les) de l'Eglise helvétique,spbk0002873,pk082,Jurisprudence
Prisca Jungendorum Marium fluviorumque molimina,spbk0002874,pk105,Science et Arts
Grammaire italienne pratique et raisonnée,spbk0002876,pk015,Belles-Lettres
Officia,spbk0002877,pk105,Science et Arts
Méthode récréative pour apprendre à lire aux enfans,spbk0002878,pk105,Science et Arts
Dictionnaire de la langue françoise,spbk0002879,pk015,Belles-Lettres
"Historia del famoso predicador, Fray Gerundio de Campazas",spbk0002880,pk015,Belles-Lettres
"Abrégé chronologique, ou Histoire des découvertes faites par les Européens dans les différentes parties du monde",spbk0002881,pk036,Histoire
Remarques d'un voyageur moderne au Levant,spbk0002882,pk036,Histoire
[Histoire des colonies angloises/européennes],spbk0002883,pk036,Histoire
"Dissertation physique, chimique et économique sur la nature et la salubrité des eaux de la Seine",spbk0002884,pk105,Science et Arts
"Dissertation historique et critique sur le gouvernement de Geneve, et ses revolutions",spbk0002885,pk036,Histoire
Elémens des mathématiques,spbk0002888,pk105,Science et Arts
[Abrégé d'Erasme],spbk0002889,pk114,Undetermined
Manuel lexique,spbk0002890,pk015,Belles-Lettres
Abrégé de l'Histoire romaine,spbk0002891,pk036,Histoire
[Almanachs] (various),spbk0002892,pk036,Histoire
magasin de Madame de Beaumont,spbk0002893,NA,NA
[Examen des préjuges],spbk0002899,pk114,Undetermined
Histoire de la maison de Bourbon,spbk0002903,pk036,Histoire
Théâtre espagnol,spbk0002904,pk015,Belles-Lettres
Diable (le) boiteux,spbk0002905,pk015,Belles-Lettres
Histoire de la république de Venise,spbk0002906,pk036,Histoire
Oeuvres dramatiques de M. Mercier,spbk0002908,pk015,Belles-Lettres
Principes de la littérature,spbk0002915,pk015,Belles-Lettres
[Lettres de Mme Dumoullin],spbk0002916,pk114,Undetermined
"Fables nouvelles, dédiées à Madame la Dauphine",spbk0002917,pk015,Belles-Lettres
[Recueil général d'ariettes],spbk0002920,pk105,Science et Arts
Abrégé chronologique de l'histoire d'Espagne et de Portugal,spbk0002921,pk036,Histoire
Dictionnaire d'anecdotes,spbk0002922,pk015,Belles-Lettres
Misantrope (le),spbk0002924,pk015,Belles-Lettres
Amusemens de littérature de morale et de politique,spbk0002925,pk105,Science et Arts
Lettres de Madame Du Boccage,spbk0002926,pk036,Histoire
Contes philosophiques et moraux,spbk0002927,pk015,Belles-Lettres
"Monde (le), par Adam Fitz-Adam",spbk0002928,pk105,Science et Arts
Mémoires du duc de Villars,spbk0002929,pk105,Science et Arts
Histoire des Chevaliers hospitaliers de S. Jean de Jérusalem,spbk0002930,pk036,Histoire
[Palingenésie de St. Louis],spbk0002933,pk114,Undetermined
Théâtre (du),spbk0002934,pk015,Belles-Lettres
Vocabularium juris utriusque,spbk0002936,pk082,Jurisprudence
Abrégé d'histoire universelle,spbk0002938,pk036,Histoire
Brouette (la) de vinaigrier,spbk0002939,pk015,Belles-Lettres
Cathécumêne (le),spbk0002940,pk015,Belles-Lettres
Etrennes aux gens d'église ou la chandelle d'Arras,spbk0002941,pk015,Belles-Lettres
Compte-rendu au Roi,spbk0002942,pk105,Science et Arts
Consolations (les) de l'âme fidèle contre les frayeurs de la mort,spbk0002943,pk105,Science et Arts
Contes et nouvelles en vers de M. de la Fontaine,spbk0002944,pk015,Belles-Lettres
Cours abrégé de géographie historique,spbk0002947,pk036,Histoire
Géographie élémentaire,spbk0002948,pk036,Histoire
Cuisiniere (la)  Bourgeoise,spbk0002949,pk105,Science et Arts
Défense de Louis XIV,spbk0002950,pk036,Histoire
Description des montagnes et des vallées qui font partie de la principauté de Neuchâtel et Valangin,spbk0002951,pk036,Histoire
Dictionnaire de chymie,spbk0002952,pk105,Science et Arts
Edelzinde,spbk0002953,pk015,Belles-Lettres
Eglise (de l') du Pape,spbk0002954,pk106,Théologie
[Eléméns de mathématiques],spbk0002955,pk105,Science et Arts
Epreuves (les) du sentiment,spbk0002957,pk015,Belles-Lettres
Espion (l') chinois,spbk0002958,pk015,Belles-Lettres
"Fables choises, mises en vers par M. de la Fontaine",spbk0002960,NA,NA
"Félicia, ou Mes fredaines",spbk0002962,pk015,Belles-Lettres
Nicolai Hieronymi Gundlingii jus naturae ae gentium,spbk0002964,pk082,Jurisprudence
Disputationes ad morborum historiam,spbk0002966,pk105,Science et Arts
"Henri IV, drame lyrique en 3 actes et en prose",spbk0002967,pk015,Belles-Lettres
Histoire de Gil Blas de Santillane,spbk0002969,pk015,Belles-Lettres
Histoire de la dissertation sur la littérature allemende,spbk0002972,pk015,Belles-Lettres
"Histoire de France, par M. Velly, Villaret et Garnier",spbk0002974,pk036,Histoire
Delle novelle di Franco Sacchetti,spbk0002975,pk015,Belles-Lettres
Nouvelle (la) Messaline,spbk0002976,pk015,Belles-Lettres
Théorie des lois criminelles,spbk0002978,pk082,Jurisprudence
Pucelle (la) d'Orléans,spbk0002979,pk015,Belles-Lettres
Gaston et Baïard,spbk0002980,pk015,Belles-Lettres
Système de la nature,spbk0002981,pk105,Science et Arts
Hollandois (un) aux habitans de la Grande-Bretagne,spbk0002983,pk036,Histoire
Hochets (les) moraux,spbk0002984,pk015,Belles-Lettres
"Mémoires de... Gaspard de Saulx, seigneur de Tavanes",spbk0002985,pk036,Histoire
Nourriture (la) de l'âme,spbk0002986,pk106,Théologie
Oeuvres complettes d'Alexis Piron,spbk0002987,pk015,Belles-Lettres
Oeuvres de Voltaire,spbk0002988,pk015,Belles-Lettres
Papesse (la) Jeanne,spbk0002989,pk015,Belles-Lettres
Onanisme (l'),spbk0002991,pk105,Science et Arts
"Olivier, poème par M. Grosley",spbk0002992,pk015,Belles-Lettres
Santé (la) des gens de lettres,spbk0002993,pk105,Science et Arts
"Usong, histoire orientale",spbk0002994,pk015,Belles-Lettres
Arithmétique du Sr. Barrême,spbk0002995,pk105,Science et Arts
Psaumes,spbk0002996,pk106,Théologie
[Histoire de Suisse en Allemand],spbk0002998,pk036,Histoire
Anecdotes des républiques,spbk0003000,pk036,Histoire
Anecdotes ecclésiastiques,spbk0003001,pk036,Histoire
Anecdotes espagnoles et portugaises,spbk0003002,pk036,Histoire
Anecdotes orientales,spbk0003003,pk036,Histoire
Anecdotes italiennes,spbk0003004,pk036,Histoire
Anecdotes françoises,spbk0003005,pk036,Histoire
Anecdotes germaniques,spbk0003006,pk036,Histoire
Anecdotes angloises,spbk0003007,pk036,Histoire
"Anecdotes chinoises, japonoises, siamoises, tonquinoises, etc.",spbk0003008,pk036,Histoire
Anecdotes arabes et musulmanes,spbk0003009,pk036,Histoire
Anecdotes du Nord,spbk0003010,pk036,Histoire
[Education physique des enfans],spbk0003013,pk105,Science et Arts
Leçons de physique expérimentale,spbk0003015,pk105,Science et Arts
Essai sur les jardins,spbk0003016,pk105,Science et Arts
[Drame anglois],spbk0003017,pk015,Belles-Lettres
Recueil des comédies et de quelques chansons gaillardes,spbk0003018,pk015,Belles-Lettres
Essai sur le pouls,spbk0003020,pk105,Science et Arts
Système nouveau et complet de l'art des accouchements,spbk0003022,pk105,Science et Arts
Lettres choisies de Monsieur de La Rivière,spbk0003023,pk082,Jurisprudence
[Mémoire de la vieille ville],spbk0003024,pk114,Undetermined
Amans (les) généreux,spbk0003026,pk015,Belles-Lettres
Description historique de la tenue du conclave,spbk0003027,pk036,Histoire
Danger (le) des préjugés,spbk0003028,pk015,Belles-Lettres
Juge (le): drame en trois actes,spbk0003029,pk015,Belles-Lettres
Adelaide de Hongrie,spbk0003030,pk015,Belles-Lettres
Art (l') de former les jardins modernes,spbk0003031,pk105,Science et Arts
Atlas élémentaire de l'empire d'Allemagne,spbk0003032,pk036,Histoire
"Historiettes, ou Nouvelles en vers par Mr. Imbert",spbk0003033,pk015,Belles-Lettres
"Anacréon, citoyen",spbk0003034,pk015,Belles-Lettres
Epître à Thémis,spbk0003035,pk015,Belles-Lettres
Epître sur l'origine et l'état des sociétés,spbk0003036,pk015,Belles-Lettres
Banque (la) rendue facile aux principales nations de l'Europe,spbk0003037,pk105,Science et Arts
Conclave (le) de 1774,spbk0003038,pk015,Belles-Lettres
Traité des horloges marines,spbk0003040,pk105,Science et Arts
"Don Pèdre, roi de Castille",spbk0003043,pk015,Belles-Lettres
Choix de poésies allemandes,spbk0003044,pk015,Belles-Lettres
Esprit (l') de Julie,spbk0003045,pk015,Belles-Lettres
Traité des changes et des arbitrages,spbk0003047,pk105,Science et Arts
Bibliotheque des sciences et des beaux arts,spbk0003049,pk105,Science et Arts
Eloge de la raison,spbk0003050,pk015,Belles-Lettres
[Dictionnaire Portugais],spbk0003051,pk015,Belles-Lettres
Avis important au sexe ou Essai sur les corps baleinés,spbk0003053,pk105,Science et Arts
Observateur français à Londres,spbk0003054,pk015,Belles-Lettres
Atlas élémentaire de la géographie,spbk0003055,pk036,Histoire
Spectateur (le),spbk0003056,pk105,Science et Arts
Principes d'institution,spbk0003057,pk105,Science et Arts
Principes et observations oeconomiques,spbk0003058,pk105,Science et Arts
Plaidoyer en faveur de la rosière,spbk0003059,pk082,Jurisprudence
[Tableau chronologique en quatre planches],spbk0003060,pk036,Histoire
Victime (la) mariée,spbk0003061,pk015,Belles-Lettres
"Colette, ou la Vertu couronnée par l'Amour",spbk0003062,pk015,Belles-Lettres
Laboureur (le) devenu gentilhomme,spbk0003063,pk015,Belles-Lettres
Art (l') du relieur doreur de livres,spbk0003065,pk105,Science et Arts
Art (l') du bourrelier et du sellier,spbk0003066,pk105,Science et Arts
Nouvelles Ephémérides Economiques,spbk0003067,pk105,Science et Arts
Cours d'architecture,spbk0003068,pk105,Science et Arts
Supplément au Recueil élémentaire d'architecture,spbk0003069,pk105,Science et Arts
Traité de la culture du figuier,spbk0003070,pk105,Science et Arts
[Thermomêtre de comparaison],spbk0003071,pk105,Science et Arts
Choix de tableaux,spbk0003073,pk036,Histoire
[Table des matières],spbk0003075,pk114,Undetermined
Nouveau dictionnaire François-Allemand,spbk0003078,pk015,Belles-Lettres
Oeuvres de Molière,spbk0003081,pk015,Belles-Lettres
Oeuvres mêlées [Du Rozoi],spbk0003082,pk015,Belles-Lettres
Art (l') de se traiter soi-même dans les maladies vénériennes,spbk0003084,pk105,Science et Arts
Manière de provigner la vigne sans engrais,spbk0003090,pk105,Science et Arts
"Livre des rêves, ou l'Oneiroscopie",spbk0003091,pk105,Science et Arts
Vie d'Apollonius de Tyane,spbk0003093,pk105,Science et Arts
Observations sur l'art du comédien,spbk0003094,pk015,Belles-Lettres
Palingénésie (la) philosophique,spbk0003096,pk105,Science et Arts
"Preuve indépendante de toute autre, de la vérité de la religion chrétienne",spbk0003097,pk106,Théologie
Art (l') de faire le vin,spbk0003098,pk105,Science et Arts
"[Courtisane, comédie]",spbk0003100,pk015,Belles-Lettres
Remonstrances du Père Adam à Voltaire,spbk0003105,pk105,Science et Arts
Oeuvres de Monseigneur le chancelier d'Aguesseau,spbk0003106,pk105,Science et Arts
[Histoire des hommes illustres],spbk0003109,pk114,Undetermined
[Mariage (le)],spbk0003110,pk114,Undetermined
Mémoires sur l'ancienne chevalerie,spbk0003113,pk036,Histoire
Catéchisme d'agriculture,spbk0003114,pk105,Science et Arts
Histoire littéraire des troubadours,spbk0003115,pk036,Histoire
Nouveau Plan d'éducation,spbk0003116,pk105,Science et Arts
Essai sur la différence du nombre des hommes dans le tems anciens et modernes,spbk0003117,pk105,Science et Arts
Discours politiques de Mr. D. Hume,spbk0003118,pk105,Science et Arts
"Réflexions sur le triste sort des personnes qui, sous une apparence de mort, ont été enterrées vivantes",spbk0003119,pk105,Science et Arts
Tableau de l'analyse chimique,spbk0003120,pk105,Science et Arts
Manuel secret et analyse des remède de MM. Sutton pour l'inoculation de la petite vérole,spbk0003121,pk105,Science et Arts
Secret (le) des Suttons dévoilé,spbk0003122,pk105,Science et Arts
Mémoires de l'Académie royale de chirurgie,spbk0003123,pk105,Science et Arts
Dissertation sur l'usage des caustiques pour la guérison radicale,spbk0003124,pk105,Science et Arts
Histoire naturelle des Oiseaux,spbk0003125,pk105,Science et Arts
Mémoires du Maréchal de Gramont,spbk0003126,pk036,Histoire
Histoire générale des voyages,spbk0003127,pk036,Histoire
Mémoires pour servir à la vie de Nicolas de Catinat,spbk0003128,pk036,Histoire
Mémoires de l'abbé Arnauld,spbk0003129,pk036,Histoire
Mémoires de M. de*** pour servir à l'histoire du dix-septième siècle,spbk0003130,pk015,Belles-Lettres
Mémoires sur les forges catalanes,spbk0003134,pk105,Science et Arts
Nos après-dinées à la campagne,spbk0003136,pk105,Science et Arts
Femme (la) malheureuse,spbk0003137,pk015,Belles-Lettres
Fausse (la) magie,spbk0003138,pk015,Belles-Lettres
Gnomonique (la),spbk0003139,pk105,Science et Arts
Galerie (la) des combinateurs,spbk0003140,pk105,Science et Arts
Art (l') de peindre,spbk0003141,pk015,Belles-Lettres
"Pierre le Grand, tragédie en cinq actes",spbk0003142,pk015,Belles-Lettres
Théagène,spbk0003143,pk015,Belles-Lettres
"Rhétorique françoise, a l'usage des jeunes demoiselles",spbk0003144,pk015,Belles-Lettres
[Dictionnaire anglois et portugais],spbk0003147,pk015,Belles-Lettres
Estampes [Marché aux herbes],spbk0003148,pk105,Science et Arts
Estampes [Flamandes],spbk0003149,pk105,Science et Arts
Estampes [La Chasse],spbk0003150,pk105,Science et Arts
Estampes [La Pêche],spbk0003151,pk105,Science et Arts
"Arminius, ou Les Chérusques",spbk0003152,pk015,Belles-Lettres
Effets (les) des passions,spbk0003154,pk015,Belles-Lettres
Elémens de la procédure criminelle,spbk0003155,pk082,Jurisprudence
[Lettres à mém],spbk0003156,pk114,Undetermined
[Voyage anglois],spbk0003163,pk114,Undetermined
[Droit de la maconnerie],spbk0003164,pk036,Histoire
[Principes de la langue française],spbk0003165,pk015,Belles-Lettres
[Questions sur les sermons de M. V (?)],spbk0003166,pk114,Undetermined
Art (l') du meunier,spbk0003169,pk105,Science et Arts
Vie (la) du pape Clément XIV,spbk0003171,pk036,Histoire
[Viaf (?) de Neuchatel],spbk0003172,pk114,Undetermined
[Histoire politique par deux et reponses],spbk0003173,pk036,Histoire
[Maladies],spbk0003174,pk105,Science et Arts
Estampes [various],spbk0003176,pk105,Science et Arts
Oeuvres diverses de M. Servan,spbk0003180,pk082,Jurisprudence
Voyages aux Indes par Douin,spbk0003181,pk036,Histoire
Magasin des petites enfans,spbk0003183,NA,NA
Tableau de l'histoire moderne,spbk0003184,pk036,Histoire
Oeuvres de Crébillon père,spbk0003186,pk015,Belles-Lettres
Almanach de Berne,spbk0003188,pk036,Histoire
[Eloge de Louis XII],spbk0003192,pk036,Histoire
"Eloge de Nicolas de Catinat, maréchal de France",spbk0003193,pk036,Histoire
Dix-huitième (le) siècle,spbk0003194,pk015,Belles-Lettres
Observations sur les maladies des nègres,spbk0003195,pk105,Science et Arts
Inconnu (l') bienfésant,spbk0003196,pk015,Belles-Lettres
[l'Enotenus],spbk0003197,pk114,Undetermined
[Voyage du chevalier XX],spbk0003198,pk114,Undetermined
"Eloge de Nicolas de Catinat, maréchal de France, discours... par M. l'abbé d'Espagnac",spbk0003199,pk036,Histoire
Histoire d'Ernestine,spbk0003200,pk015,Belles-Lettres
Sermons de Messire Jacques-François-René de Latour Dupin,spbk0003201,pk106,Théologie
Vie (la) de l'abbé Laurent Ricci,spbk0003205,pk036,Histoire
[Ein baud de 3 erst baude],spbk0003207,pk114,Undetermined
[Abhandlungen],spbk0003212,pk114,Undetermined
[Layen brudern fragen],spbk0003213,pk114,Undetermined
E. A. Nicolai ... Programma de Gummi Ammoniaci virtute dissertationi inaugurali,spbk0003214,pk105,Science et Arts
[Dissertation de Trisino (?)],spbk0003215,pk114,Undetermined
Dissertation sur la dysenterie et ses remedes les plus specifiques,spbk0003216,pk105,Science et Arts
[Médecine commentaires],spbk0003217,pk105,Science et Arts
loisirs (les) d'une jeune dame,spbk0003218,pk015,Belles-Lettres
Traité de la fonte des mines par le feu du charbon de terre,spbk0003219,pk105,Science et Arts
Avis aux femmes enceintes et en couches,spbk0003220,pk105,Science et Arts
Traité de la vie sobre,spbk0003221,pk105,Science et Arts
"Peinture (le), poëme en trois chants",spbk0003223,pk015,Belles-Lettres
Vindicatif (le),spbk0003224,pk015,Belles-Lettres
"Beverlei, ou le joueur anglois",spbk0003225,pk015,Belles-Lettres
"Lupiologie, ou Traité des tumeurs",spbk0003226,pk105,Science et Arts
Science (la) de l'arpenteur,spbk0003227,pk105,Science et Arts
Instituts de chymie de M. Jacques-Reinbold Spielmann,spbk0003228,pk105,Science et Arts
Henriette Wyndham,spbk0003230,pk015,Belles-Lettres
"Célide, ou Histoire de la marquise de Bliville",spbk0003231,pk015,Belles-Lettres
Vues (les) simples d'un bon-homme,spbk0003232,pk015,Belles-Lettres
Fille (la) de trente ans,spbk0003233,pk015,Belles-Lettres
Extrait du Journal de mes voyages,spbk0003234,pk036,Histoire
Calendrier des Anecdotes,spbk0003235,pk036,Histoire
Epître à M. de Monregard,spbk0003236,pk015,Belles-Lettres
Duc (le) d'Arnay,spbk0003237,pk015,Belles-Lettres
"Erreur (l') d'un moment, ou la Suite de Julie",spbk0003239,pk015,Belles-Lettres
[Atlas de Vaugondi],spbk0003241,pk036,Histoire
Voyages dans la partie septentrionale de l'Europe,spbk0003243,pk105,Science et Arts
Anecdotes de la cour et du règne d'Édouard II,spbk0003244,pk015,Belles-Lettres
Anecdotes du règne de Louis XVI,spbk0003245,pk036,Histoire
[Voyage de Sarre],spbk0003246,pk114,Undetermined
Chimie métallurgique,spbk0003247,pk105,Science et Arts
Antiquités (les) de Metz,spbk0003250,pk036,Histoire
"Memnon, histoire oriental",spbk0003251,pk015,Belles-Lettres
Heureuse (l') colonie,spbk0003252,pk106,Théologie
Institutiones metaphysicae,spbk0003253,pk105,Science et Arts
Nouveaux secours pour les corps arrêtés dans l'oesophage,spbk0003255,pk105,Science et Arts
Essai sur le despotisme,spbk0003256,pk105,Science et Arts
Dissertation sur Jeanne d'Arc,spbk0003257,pk036,Histoire
"Zabhet, ou les heureux effets de la Bienfaisance",spbk0003258,pk015,Belles-Lettres
Art (l') d'exploiter les mines de charbon de terre,spbk0003259,pk105,Science et Arts
"Relation, ou Journal d'un officier françois au service de la confédération de Pologne",spbk0003260,pk036,Histoire
