Cluster ID,confidence_score,UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date,canonical_UUID,canonical_super_book_code,canonical_primary_author_name,canonical_full_book_title,canonical_stated_publication_years,canonical_illegal_date
381,,NA,spbk0000143,Tissot [coiffeur],"Traité de la nature des cheveux, et de l'art de coeffer",1776,NA,,,,,,
382,,NA,spbk0000144,"Procope-Couteaux, Michel","Art (l') de faire des garçons... Par M***, Docteur en Médecine de l’Université de Montpellier",1779,NA,,,,,,
383,,NA,spbk0000144,"Procope-Couteaux, Michel","Art (l') de faire des garçons, ou Nouveau tableau de l'amour conjugal. Par M.*** docteur en médecine de l'université de Montpellier",1787,NA,,,,,,
384,,NA,spbk0000145,"Frederick II, King of Prussia","Art (l') de la guerre, poëme en six chants",1760,NA,,,,,,
385,,NA,spbk0000147,NA,[Art (l') de peindre au feu],NA,NA,,,,,,
386,,NA,spbk0000148,"Imhoof, Jean-Jacques","Art (l') de tenir les livres en parties doubles, ou la science de faire écriture de toutes les négociations qui se font, soit en banque, soit en marchandises",1786,NA,,,,,,
387,,NA,spbk0000149,"Meerwein, Carl Friedrich","Art (l') de voler à la manière des oiseaux, par Charles Frédéric Meerwein",1784,NA,,,,,,
388,,NA,spbk0000150,"Buc'hoz, Pierre-Joseph","Art (l') alimentaire, ou, Methode pour préparer les aliments les plus sains pour l'homme",1783,NA,,,,,,
389,,NA,spbk0000151,"Galiani, Ferdinando","Art (l') de conserver les grains, par Barthélemy Inthiery, ouvrage traduit de l'italien par les soins de M. D. N. E.",1770,NA,,,,,,
390,,NA,spbk0000152,NA,Art de faire des vins,NA,NA,,,,,,
391,,NA,spbk0000155,"Cailhava de L'Estandoux, Jean-François","Art (de l') de la comédie, ou Détail raisonné des diverses parties de la comédie et de ses différents genres, suivi d'un traité de l'imitation, où l'on compare à leurs originaux les imitations de Molière et celles des modernes... terminé par l'exposition des causes de la décadence du théâtre et des moyens de le faire refleurir, par M. de Cailhava ",1772,NA,,,,,,
392,,NA,spbk0000156,"La Forest, Nicolas Laurent","Art (l') de soigner les pieds, contenant un traité sur les cors, verrues, durillons, oignons, engelures, les accidens des ongles et leur difformité... par M. Laforest",1783,NA,,,,,,
393,,NA,spbk0000158,NA,"Recueil des articles passés en loix, dans la principauté de Neuchâtel et Valangin depuis 1700: avec les articles généraux et particuliers accordés en 1707, et ceux accordés en 1768 ",1775,NA,,,,,,
394,,NA,spbk0000159,"Tronson Du Coudray, Charles","Artillerie (l') nouvelle, ou Examen des changements faits dans l'artillerie française depuis 1765, par M***",1773,NA,,,,,,
395,,NA,spbk0000161,"Petit, Emilien",Observations sur plusieurs assertions extraites littéralement de l'histoire philosophique des Etablissements européens dans les deux Indes,1776,NA,,,,,,
396,,NA,spbk0000162,NA,[Atlas de la Crose],NA,NA,,,,,,
397,,NA,spbk0000163,NA,[Atlas des enfans],NA,NA,,,,,,
398,,NA,spbk0000164,"Bonnant, Jean Pierre","Atrium latinitatis, ou recueil de mots latins à l'usage des écoliers",NA,NA,,,,,,
399,,NA,spbk0000166,NA,"Princesse (la) infortunée, ou Histoire d'Auréli",1785,NA,,,,,,
400,,NA,spbk0000167,"Brissot de Warville, Jacques-Pierre","Autorité (l') législative de Rome anéantie, ou Examen rapide de l'histoire et des sources du droit canonique",1785,NA,,,,,,
401,,NA,spbk0000168,"Brenellerie, Paul-Phillipe Gaudin [de la]","Aux mânes de Louis XV et des grandes hommes qui ont vécu sous son règne, ou essai sur les progrès des arts et de l'esprit humain, sous le règne de Louis XV",NA,NA,,,,,,
402,,NA,spbk0000169,"Joly, Joseph-Romain","Aventures (les) de Mathurin Bonice, premier habitant de l'isle de l'esclavage, ancien ministre du roi de Zanfara; tirées de ses mémoires, par un académicien des Arcades.",1782-1783,NA,,,,,,
403,,NA,spbk0000170,"Renoult, Jean-Baptiste","Aventures (les) de la Madonna et de François d'Assise, recueilles de plusieurs ouvrages des docteurs romains, écrites d'un style récréatif, en même temps capable de faire sentir le ridicule du papisme sans aucune controverse, par M. Renoult",NA,NA,,,,,,
404,,NA,spbk0000171,"Leroy, Antoine",Aventures (les) divertissantes du duc de Roquelaure: suivant les mémoires que l'auteur a trouvés dans le cabinet du maréchal d'H... / Par le S.L.R.,1784,NA,,,,,,
405,,NA,spbk0000171,"Leroy, Antoine","Momus (le) français, ou Les aventures divertissantes du duc de Roquelaure",NA,NA,,,,,,
406,,NA,spbk0000172,NA,"Aventures (les) galantes de quelques enfants de Loyola. Sur l'imprimé au Paraclet, 1782",1782,NA,,,,,,
407,,NA,spbk0000174,"Defoe, Daniel","Vie (la) et les aventures surprenantes de Robinson Crusoe, contenant son retour dans son Isle, ses autres nouveaux Voyages & ses Réflections",1776,NA,,,,,,
408,,NA,spbk0000174,"Defoe, Daniel",Aventures de Robinson Crusoe,1787,NA,,,,,,
409,,NA,spbk0000177,"Ramond de Carbonnières, Louis-François-Elisabeth",Dernières (les) aventures du jeune d'Olban: fragment des Amours alsaciennes,1777,NA,,,,,,
410,,NA,spbk0000179,"Vasse, Cornélie-Pétronille-Bénédicte Wouters [baronne de]","Aveux (les) d'une femme galante, ou lettres de Madame la Marquise de ***, à Milady Fanny Stapelton",NA,NA,,,,,,
411,,NA,spbk0000180,"Tissot, Samuel Auguste André David",Avis au peuple sur sa santé,NA,NA,,,,,,
412,,NA,spbk0000182,"Pennington, Sarah","Avis (les) d'une mère infortunée à ses filles, ouvrage nouvellement traduit de l'anglois... suivi de Fables morales, aussi traduites de l'anglois",1786,NA,,,,,,
413,,NA,spbk0000183,"Boissy, Louis [de]","Babillard (le), comédie de M. de Boissy",NA,NA,,,,,,
414,,NA,spbk0000184,NA,Bacha dans son serrail,NA,NA,,,,,,
415,,NA,spbk0000185,"Lesage, Alain René","Bachelier (le) de Salamanque, ou les Mémoires et avantures de Don Chérubin de La Ronda",1777,NA,,,,,,
416,,NA,spbk0000186,NA,Bagatelle (la) du moment,1784,NA,,,,,,
4,0.24239719,NA,spbk0000187,"Coyer, Gabriel-François",Bagatelles morales,NA,NA,b'',b'spbk0000187',"b'Coyer, Gabriel-Fran\xc3\xa7ois'",b'Bagatelles morales',b'1769',b''
4,0.24239719,NA,spbk0000187,"Coyer, Gabriel-François",Bagatelles morales,1769,NA,b'',b'spbk0000187',"b'Coyer, Gabriel-Fran\xc3\xa7ois'",b'Bagatelles morales',b'1769',b''
417,,NA,spbk0000188,NA,Bagatelles galantes,1783,NA,,,,,,
418,,NA,spbk0000189,"Genlis, Stéphanie Félicité [comtesse de]","Bal d'enfans ou le duel, comédie en deux actes",NA,NA,,,,,,
419,,NA,spbk0000190,"Du Laurens, Henri-Joseph","Balai (le), poème héroï-comique en XVIII chants",NA,NA,,,,,,
420,,NA,spbk0000191,"Huillier, Pierre [l']",Bannissement (le) des jésuites hors du royaume de France,NA,NA,,,,,,
421,,NA,spbk0000192,"Guigoud-Pigale, Pierre","Baquet (le) magnetique, comédie, en vers et en deux actes. Par Mr. P.G.",1784,NA,,,,,,
422,,NA,spbk0000193,"Beaumarchais, Pierre Augustin Caron [de]","Barbier (le) de Séville, ou La Précaution inutile",1775,NA,,,,,,
423,,NA,spbk0000193,"Beaumarchais, Pierre Augustin Caron [de]","Barbier (le) de Séville, ou La Précaution inutile, comédie en 4 actes, par M. de Beaumarchais, représentée sur le théâtre de la Comédie-Française le 23 février 1775",1775,NA,,,,,,
424,,NA,spbk0000194,"Luchet, Jean-Pierre-Louis de La Roche du Marin [marquis de]","Vicomte (le) de Barjac, ou mémoires pour servir à l'histoire de ce siècle, par M. C.... de L...., auteur des Liaisons dangereuses",1784,NA,,,,,,
425,,NA,spbk0000195,"Arnaud, François-Thomas-Marie de Baculard [d']","Batilde, ou l'Héroïsme de l'amour, drame en 5 actes et en vers, par M. Dysembart de La Fossardrie",1775,NA,,,,,,
426,,NA,spbk0000197,"Baumeister, Friedrich Christian",[Baumeister - unidentified work],NA,NA,,,,,,
5,0.23985396,NA,spbk0000198,"Marmontel, Jean-François",Belisaire,NA,NA,b'6be477a7-bee8-4bdf-af35-a63d2f51ca96',b'spbk0000198',"b'Marmontel, Jean-Fran\xc3\xa7ois'",b'Belisaire',b'',b'No Date Available'
427,,NA,spbk0000199,NA,[Belle (la) et la Bête],NA,NA,,,,,,
428,,NA,spbk0000200,"Bret, Antoine","Belle (la) Allemande, ou les Galanteries de Thérèse",NA,NA,,,,,,
429,,NA,spbk0000201,"Müller, Johannes [von]",Bellum Cimbricum descripsit Joannes Müller,1772,NA,,,,,,
